hidden_units,learning_rate,batch_size,epochs,loss_train,accuracy_train,mse_train,loss_test,accuracy_test,mse_test,time
30,0.005,10,100,0.1088758111000061,1.0,0.01157505065202713,0.5335816740989685,0.84375,0.17299768328666687,2.2780661582946777
40,0.005,10,100,0.0779142752289772,1.0,0.006716466508805752,0.511086106300354,0.828125,0.1633872091770172,2.236239194869995
20,None,6,60,0.4054141044616699,1.0,0.11339177936315536,0.6262920498847961,0.71875,0.21753454208374023,1.4527721405029297
25,None,6,60,0.37007665634155273,1.0,0.09778662770986557,0.6135962009429932,0.75,0.21090996265411377,1.5272130966186523
30,None,6,60,0.29867544770240784,1.0,0.0698334351181984,0.5957801938056946,0.796875,0.20258060097694397,1.4981296062469482
40,None,6,60,0.2561025619506836,1.0,0.0534384548664093,0.5775648355484009,0.765625,0.19344505667686462,1.5224626064300537
20,None,6,80,0.2704256474971771,1.0,0.059109002351760864,0.566810131072998,0.828125,0.18831807374954224,1.8252501487731934
25,None,6,80,0.2391740083694458,1.0,0.049133360385894775,0.6068440675735474,0.75,0.20747977495193481,1.8993010520935059
30,None,6,80,0.18306869268417358,1.0,0.030984729528427124,0.5280094146728516,0.828125,0.17053788900375366,1.8428070545196533
40,None,6,80,0.13889861106872559,1.0,0.018417570739984512,0.510246753692627,0.828125,0.16300801932811737,1.8959195613861084
20,None,6,100,0.1815137267112732,1.0,0.0297244880348444,0.5127643346786499,0.828125,0.16357654333114624,2.454383373260498
25,None,6,100,0.17815452814102173,1.0,0.028873100876808167,0.5568041205406189,0.828125,0.18375423550605774,2.2881369590759277
30,None,6,100,0.11181116104125977,1.0,0.012882499024271965,0.4639732241630554,0.828125,0.1451682150363922,2.285839796066284
40,None,6,100,0.07993078231811523,1.0,0.006720386911183596,0.4786834716796875,0.828125,0.14867612719535828,2.3137214183807373
20,None,8,60,0.4066019654273987,1.0,0.11354753375053406,0.5973550081253052,0.78125,0.20300567150115967,1.5454773902893066
25,None,8,60,0.36238670349121094,0.984375,0.09536175429821014,0.5975942611694336,0.796875,0.20301297307014465,1.5085010528564453
